PLU,UoM,Description,Chinese Descp,Toledo Number
614,EA,EGGPLANT,紫茄,
616,LB,HUNG-CAY,越南香菜,55616
617,LB,KINH GIOI,荊芥香菜,55617
618,LB,MINT,薄荷,55618
619,LB,RAU RAM,辣香菜,55619
620,LB,TIA-TO,紫蘇,55620
622,LB,RAP-CA,魚腥草,55622
623,EA,CAULIFLOWER,花椰菜,
627,LB,SOLUYOT,,55627
672,LB,GREEN BOK CHOY,青白菜,
673,LB,KOMATSUNA,小松菜,
675,LB,TAIWAN GARLIC,台灣大蒜,55675
691,LB,DAEPA,大蔥,
706,EA,LEMON,檸檬,
808,EA,LIME,青檬(萊姆),
9127/UPC,EA,ORGANIC MUSHROOM BUNAPI,有機白玉菇,
9128/UPC,EA,ORGANIC MUSHROOM BUNASHIMEJI,有機鴻禧菇,
